tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000001	movie	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt0000002	movie	Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
tt0000003	movie	Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance
tt0000004	movie	Un bon bock	Un bon bock	0	1892	\N	12	Animation,Short
tt0000005	movie	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
tt0000006	movie	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
tt0000007	movie	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
tt0000008	movie	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	40	Romance,Short
tt0000010	movie	Leaving the Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
tt0000011	movie	Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
tt0000012	movie	The Arrival of a Train	L'arrivée d'un train à La Ciotat	0	1896	\N	1	Documentary,Short
tt0000013	movie	The Photographical Congress Arrives in Lyon	Le débarquement du congrès de photographie à Lyon	0	1895	\N	1	Documentary,Short
tt0000014	movie	The Waterer Watered	L'arroseur arrosé	0	1895	\N	1	Comedy,Short
tt0000015	movie	Autour d'une cabine	Autour d'une cabine	0	1894	\N	2	Animation,Short
tt0000016	movie	Boat Leaving the Port	Barque sortant du port	0	1895	\N	1	Documentary,Short
tt0000017	movie	Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
tt0000018	movie	Das boxende Känguruh	Das boxende Känguruh	0	1895	\N	1	Short
tt0000019	movie	The Clown Barber	The Clown Barber	0	1898	\N	\N	Comedy,Short
tt0000020	movie	The Derby 1895	The Derby 1895	0	1895	\N	1	Documentary,Short,Sport
tt0000022	movie	Blacksmith Scene	Les forgerons	0	1895	\N	1	Documentary,Short
tt0000023	movie	The Sea	Baignade en mer	0	1895	\N	1	Documentary,Short
tt0000024	movie	Opening of the Kiel Canal	Opening of the Kiel Canal	0	1895	\N	\N	News,Short
tt0000025	movie	The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	0	1895	\N	\N	News,Short,Sport
tt0000026	movie	The Messers. Lumière at Cards	Partie d'écarté	0	1896	\N	1	Documentary,Short